,age,detailQuestion,level1Name,level2Name,question,sex
19,18岁,就是小弟弟下面痛还流黄黄那种,内科,神经内科,下面痛疼怎么解决,男
20,31岁,我有痉挛性斜颈的症状，对本来的病情会不会加重？,内科,神经内科,我有痉挛性斜颈的症状，对本来的病情会不会,女
21,12岁,最近头疼，太阳穴上面被手拐敲击几次，出现头痛头晕，CT做完检查是小脑软化灶，进一步检查做磁共振，现在住院待结果<h5>是否去医院就诊过：</h5>没去过<h5>当前服药说明：</h5>没有服药<h5>既往病史及手术史：</h5>没有,内科,神经内科,小脑软化灶是什么意思,女
22,26岁,我在精神紧张或注意力高度集中的时候会出现手抖动的情况，一次很短暂可能0.1秒，比如说上次在外面给别人倒茶的时候突然一瞬间手抖，把茶倒在了别人身上好尴尬，抖动的时候大脑像放电一样的感觉，而且没有预兆根本控制不了，尤其是有人在旁边时会出现好几次，我担心别人看见，越担心就越想控制，越控制反而更严重，有时手里拿着东西会在那一瞬间掉落。这是什么情况？,内科,神经内科,我在精神紧张或注意力高度集中的时候会出现,男
23,53岁,53岁男性，近来偶尔有头晕不适，连续几个晚上测血压145/98左右，请问该怎样处理。体检有高血脂，高胆固醇，高尿酸。近几天有痛风发作。,内科,神经内科,53岁男性，近来偶尔有头晕不适，连续几个,男
24,80岁,脑梗卧床三年，开始有红点，后来全身起水泡，非常痒,内科,神经内科,脑梗卧床三年，开始有红点，后来全身起水泡,男
25,18岁,唱会儿歌或说会儿话嗓子就不舒服还有疼痛感然后就是嘴巴干牙齿不舒服还一直想流口水医生我还有救吗TnT,内科,神经内科,唱会儿歌或说会儿话嗓子就不舒服还有疼痛感,男
26,26岁,背心冷，一会儿热一会儿冷，头晕，没力气,内科,神经内科,背心冷，一会儿热一会儿冷，头晕，没力气,男
27,61岁,连续数月痰多，16点家中抽搐，晕厥，轻微白沫，要牙。持续6分钟，120急救去往医院，20点在急诊第二次，同样16点的症状2分钟，20点17分第三次同样16点状况非常严重，呼吸困难，面色发紫，心跳骤停，抢救后多痰，鼻腔出血，咳血转入icu,内科,神经内科,痰多，抽搐，晕厥，轻微白沫，要牙。,男
28,43岁,"脸面部僵硬唉，有焦虑症。,睡眠也不好。这个北京301医院有确切的门诊吗？",内科,神经内科,"脸面部僵硬唉，有焦虑症。,睡眠也不好。这",女
29,19岁,"腋下在紧张的时侯容易密汗。紧张的时候不仅仅只是上台演讲,平时打游戏,看重要比赛,跟重要的人聊天等一般情况也容易密汗。不管春夏秋冬都是这样。每次腋下出的汗不多也不少,不会滴下来,但一两分钟会流下来的量。状况持续两年多了。请问这是气虚吗,需要用什么药物治疗",内科,神经内科,紧张腋容易出汗,男
30,20岁,做完三天后头晕腰痛脚软腹部胀痛上大号出血,内科,神经内科,做完三天后头晕脚软腰痛上大号出血,女
31,64岁,今年有头晕的现象，今年没有怎么干活发胖了，7月头晕严重了，去检查为脑梗，药吃了半个月好一点，停了，现在又有头晕的现象，在吃复方丹参片,内科,神经内科,今年有头晕的现象，今年没有怎么干活发胖了,女
32,23岁,头晕脑胀意识朦胧像是梦游一样，弯腰低头时间长了症状更明显，多梦睡不好，容易饿总是感到累不想动口渴想喝水,内科,神经内科,头晕脑胀意识朦胧像是梦游一样，弯腰低头时,男
33,27岁,头晕想倒，手脚无力，胸闷，偶尔两边肺部有点刺痛不过很少，只是偶尔，去抽血了,内科,神经内科,头晕想倒，手脚无力，胸闷，偶尔两边肺部有,女
34,64岁,医生，您好！我爸最近头晕，晚上比较重，以前有严重颈椎病，想到贵院就诊，也想全面体检一下，问一下是挂体检科还是骨科好一点儿,内科,神经内科,医生，您好！我爸最近头晕，晚上比较重，以,男
35,42岁,你好，我母亲右边脸抽搐，嘴角边和眼角间歇性的抽搐，吃过西药，吃了一阵时间只是得到缓解，针灸过，也只是缓解，寻求治疗方法。,内科,神经内科,你好，我母亲右边脸抽搐，嘴角边和眼角间歇,女
36,19岁,口吃遇到不熟的人就会紧张激动有时候想说又说不出话来被人嘲笑,内科,神经内科,口吃遇到不熟的人就会紧张激动有时候想说又,女
37,30岁,一次心里受伤难过心颤抖加速特别难受心电彩超没有啥毛病检查依旧不好喝很多汤药四个多月了,内科,神经内科,心悸心慌颤抖难受一段一段时间犯病,女
38,33岁,一整晚都是迷迷糊糊的。每次睡到床上，尤其是侧卧感觉心跳一直蹦蹦响，静不下来。眼皮睁不开，但就是睡不着。心里总是有一团火一样。舌苔白且厚！一直以来都是强迫自己入睡，很难受。请求帮助！,内科,神经内科,失眠，睡不着,男
39,38岁,头晕，头疼，耳鸣，心慌，晚上失眠，多梦三个多月了，吃过中草药，西药，病情无好转，在景东县人民医院没检查出什么症状，,内科,神经内科,头晕，头疼，耳鸣，心慌，晚上失眠，多梦三,男
40,35岁,头晕沉沉的眼花注意力不集中鼻子带血丝手脚冰凉，心疼小腹有时也痛早上起来没晨勃，这些是什么症状，和性病有关吗？，谢谢,内科,神经内科,头晕沉沉的眼花注意力不集中鼻子带血丝手脚,男
41,21岁,本人，女，21岁。昨天晚上先是在图书馆感觉头晕，然后回到寝室想上床休息，结果刚躺下闭眼睛就天旋地转。睁开眼睛就好了，从床上起来也先晕一会，稳定一下就好了。后来吐了一次，回来大概舒服了一些，之后就睡了。,内科,神经内科,头晕恶心呕吐怎么回事,女
42,17岁,孩子最近总是头晕，今天做的ct检查，右侧额骨内板下见条状略低密度影，部分脑间隙增宽,内科,神经内科,孩子最近总是头晕，今天做的ct检查，右侧,男
43,29岁,单纯头晕睁开眼睛就是晕无贫血血压低。,内科,神经内科,头晕无贫血血压低其他一切正常,男
44,26岁,您好医生本人头晕有半年了。一站着就有点晕。坐着躺着睡觉就没事身体其它位置没有不舒务,内科,神经内科,您好医生本人头晕有半年了。一站着就有点晕,男
45,18岁,头晕，脱发，失眠，嗜睡，记忆力消退，理解能力减弱,内科,神经内科,头晕，脱发，失眠，嗜睡，记忆力消退，理解,男
46,48岁,脑干出血七天以后能用吗？,内科,神经内科,三磷酸腺苷二钠氯化镁，脑干出血能用吗？,女
47,45岁,晚上两点多心抖的厉害还带有抽搐发病前9个小时时胃疼,内科,神经内科,晚上两点多心抖的厉害还带有抽搐发病前9个,女
48,18岁,最近胃不好吃不下饭然后就头晕心慌平静不下来该怎么办？,内科,神经内科,最近胃不好吃不下饭然后就头晕心慌平静不下,女
49,20岁,我以前失忆过，后来吃了两个月的精神病药，在吃药的时候，感觉所有的记性慢慢的消失了，我就记得有些事情，但是记不太清，现在感觉脑子和以前也不一样了，变的傻了，记性也不好，心情不好，我想问问我以前的记忆还能恢复吗，我的大脑还能恢复到以前的样子吗，我之前就是忘记东西了，我想恢复过来,内科,神经内科,总是肚子疼怎么办,女
50,22岁,两眼向上翻口吐白沫，脚抽咬舌,内科,神经内科,两眼向上翻口吐白沫，脚抽咬舌,女
51,19岁,半夜紧张，发颤，呕吐，腹泻，流口水，想咬人，很焦虑暴躁，我这是生病了，还是前不久打的狂犬病疫苗有关?,内科,神经内科,半夜紧张，发颤，呕吐，腹泻，流口水，想咬,男
52,44岁,我头晕，还站不稳，做了脑Ct，磁共振，都没有毛病，验血有点贫血，血脂高都有一点，不严重。我是怎么了,内科,神经内科,我头晕，还站不稳，做了脑Ct，磁共振，都,女
53,42岁,头晕，吃了降压药，血压正常，血脂7.6，头晕的很,内科,神经内科,头晕，吃了降压药，血压正常，血脂7.6，,男
54,26岁,耳朵里面痛.连带着半边脸都痛 之前掏耳朵有黄色液体， 昨天开了双氧水清洗了一下周边， 还开了甲钴胺， 可是今天疼的有厉害了 非常的痛 感觉听力也下降了,内科,神经内科,耳朵里面痛.连带着半边脸都痛,男
55,30岁,最近老师头有点晕，今年6月份有体检，显示甘油三酯2.5，尿酸534，甲状腺有结节，请问医生大概判断一下我头晕的问题所在，最近有测过血压，90，130,内科,神经内科,最近有点头晕,男
56,28岁,最近这一年感觉头晕难受……,内科,神经内科,最近这一年感觉头晕难受……,男
57,11岁,你好，最近头晕怎么办,内科,神经内科,你好，最近头晕怎么办,女
58,31岁,头晕，左手拿手机时间长会发麻，这要怎么治疗,内科,神经内科,头晕，左手拿手机时间长会发麻，这要怎么治,女
59,21岁,我这个左小腿肌肉一开始是震颤，抽动，垫脚，后来无力，现在右小腿也开始了，查了很多医院，都是让我拍片检查腰椎，一堆没用的，不过我觉得这个就是肌肉萎缩了，两条腿的粗细相差6公分,内科,神经内科,我这个左小腿肌肉一开始是震颤，抽动，垫脚,男
60,20岁,医生是这样的我呢从三年前开始吧就有头晕目眩手脚无力还经常打哈欠感觉这个人都不是特别精神就人是有点轻飘飘的感觉这种情况时好时坏特别是射完精过几天之后人就经常打哈欠且头晕晕的想咨询一下医生这是什么情况的呢,内科,神经内科,医生是这样的我呢从三年前开始吧就有头晕目,男
61,20岁,前三个月头被东西砸过，现在有点头晕，拍片发现有拇指大的积血，大夫给布洛芬和头痛宁，吃了没效果，吃什么药能把积血消掉！,内科,神经内科,前三个月头被东西砸过，现在有点头晕，拍片,女
62,18岁,感冒了第一天是上午低烧，下午高烧39度，然后持续低烧一天，现在弟三天嗓子哑了，有痰，刻出来费劲，头也疼，但是不发烧了，去检查他们就是说普通感冒没什么事，但是我以前干嘛也不这样啊,内科,呼吸内科,感冒了第一天是上午低烧，下午高烧39度，,女
63,6岁,孩子三天前发烧39，验血后开了奥司他韦，阿莫西林颗粒，消积止咳口服液，双金连合剂，昨天下午退烧了，今天复查，说白细胞低了，让继续吃奥司他韦，开了升白素，下面图片前两张是第一次检查验血单，最后是今天的,内科,呼吸内科,孩子三天前发烧39，验血后开了奥司他韦，,男
64,6岁,发烧呕吐三天不退，好一天，又低烧两天，发烧第二天夜里眼睛凝视4秒，傻笑几秒，这个是病毒性脑炎吗，学校最近流感,内科,呼吸内科,流感发烧呕吐肚子疼,男
65,18岁,你好，我是一名高三学生，最近一直咳嗽厉害，每年都会犯病，咳的特别厉害，到县医院拍了片子，说是肺部淋巴感染，我想咨询一下这个是怎么引起的,内科,呼吸内科,一直咳嗽，晚上咳的睡不着,女
66,56岁,医生您好，我父亲近期由于感冒咳嗽就治不好，住院治疗时查出来有艾滋病病毒，这是复查的高精度载量结果，请问从结果单上看他这个传染性高不？,内科,呼吸内科,医生您好，我父亲近期由于感冒咳嗽就治不好,男
67,28岁,你好！我今天检查肺部感染咳凑，嗓子肿痛，我还有拉肚子现象，医生开了蓝芩口服液和苏黄止咳胶囊，但喝了蓝芩口服液拉的更厉害了！想在想问，吃盐酸左氧氟沙星胶囊和苏黄止咳胶囊能治好病吗？不吃蓝芩口服液可以吗,内科,呼吸内科,你好！我今天检查肺部感染咳凑，嗓子肿痛，,女
68,33岁,月子期间咳嗽，开始是牙龈疼，嗓子疼，干咳，最近是有黄痰，头疼！,内科,呼吸内科,月子，咳嗽头疼,女
69,1岁,前天半夜肚子起来疼吐了，第二天就开始发烧，昨晚反复发烧，伴有呕吐，有点感冒，又有点拉肚子，拉出来稀便很臭，今天去做了个血常规！医生开了醒脾养儿颗粒，还有小儿柴桂颗粒，现在又烧起来了，体温是三十八度多，两小那样就烧起来了！说是退烧药不能二十四小时不可以超过四次，可是这该怎么办？,内科,呼吸内科,前天半夜肚子起来疼吐了，第二天就开始发烧,女
70,4岁,白天咳嗽就一阵咳一下不是连续咳嘴唇红干。晚上也咳睡着不咳,内科,呼吸内科,幼儿咳嗽，几天不好几秒咳一声不连续,女
71,16岁,受冷咳嗽后呕吐吐出血丝。,内科,呼吸内科,受冷咳嗽后呕吐吐出血丝。,男
72,68岁,女，68岁上半身游走性疼痛，起初感冒引起，感冒好后后背，双肩疼痛，看了中医吃了几幅中药后转移至尾椎骨和胸下侧疼痛,内科,呼吸内科,上半身游走性疼痛,女
73,17岁,11月25号吃了很多烧烤没有感冒一直咳嗽吃了药到12月5号好转许多6号到到现在16号也咳嗽很少咳嗽一天咳3~5次大多半夜咳痰多一咳就很厉害,内科,呼吸内科,11月25号吃了很多烧烤没有感冒一直咳嗽,男
74,5岁,这次的病毒＋细菌感冒，发烧，昨天不烧了，不小心睡觉着凉了，右侧脸颊和眼睛一笑倾斜，说话没表情时看不出来，请问吃点什么药，吃多少，平时怎么护理，,内科,呼吸内科,宝宝病毒＋细菌感冒，发烧后着凉，面瘫,女
75,5岁,咳嗽厉害，发烧38度，恶心呕吐，精神状态不好，疲乏无力，,内科,呼吸内科,儿童感冒发烧咳嗽恶心,男
76,43岁,这两天背后不舒服，不咳嗽，就是心肌缺血，是怎么回事？,内科,呼吸内科,这两天背后不舒服，不咳嗽，就是心肌缺血，,女
77,17岁,男17岁，持续低烧三周，查血像高，医生说有炎症，用药后体温将至37.2左右，有时37.4，不用药也会自然恢复，一周前又查了血没问题了，又查了肺部CT，也没问题，就是体温还是上午低，下午37.2,内科,呼吸内科,持续低烧不提怎么办,男
78,4岁,今天咳嗽很严重发烧38.2,内科,呼吸内科,今天咳嗽很严重发烧38.2,女
79,3岁,三岁抱抱发烧，脸上有上有红点点，想问下是什么隐私的,内科,呼吸内科,三岁抱抱发烧，脸上有上有红点点，想问下是,女
80,3岁,咳嗽，早晨咳嗽一下，这几天打喷嚏。打的多，晚上鼻子有时候不通吃了几天感冒药不管用，有去门诊让看鼻子都堵着了。可以吃香菊胶囊和头孢呋辛酯片可以吗,内科,呼吸内科,咳嗽，早晨咳嗽一下，这几天打喷嚏。打的多,男
81,79岁,你好医生，我爷爷79岁发烧咳嗽十多天了有少量白痰怎么办,内科,呼吸内科,老人咳嗽发烧有白痰十多天了,男
82,56岁,肺部感染结节病变陈旧性病发中医能看好吗,内科,呼吸内科,肺部感染结节病变陈旧性病发中医能看好吗,男
83,35岁,最近感冒了，头晕，头疼的一直好不了是怎么回事，例假也不按时来了，都推迟四五天了，平时也会时不时的会有头闷现象,内科,呼吸内科,最近感冒了，头晕，头疼的一直好不了是怎么,女
84,42岁,总觉得感冒的前兆就是头晕的厉害开始的时候用拔罐和放血觉得好多了！可是这次觉得没有管用,内科,呼吸内科,总觉得感冒的前兆就是头晕的厉害开始的时候,女
85,5岁,5岁孩子肚子发热37℃,内科,呼吸内科,先是头部发热现在头部34℃现在肚子发烧,男
86,4岁,孩子一到晚上就发烧连续两天了，去医院看了就给开了点消炎药和咳嗽药孩子现在咳嗽，一发烧愁人有化验单,内科,呼吸内科,孩子一到晚上就发烧有点咳嗽有化验单,男
87,55岁,女55岁2019年12月13日凌晨1点多咳嗽咳了一点血请问是什么原因，这两天没有咳嗽出血的症状,内科,呼吸内科,凌晨咳嗽咳了一点血,女
88,24岁,大概是在11月18号我突然感觉胸闷气短，呼吸困难，但没有胸痛的感觉，以为是短暂，也没在意，但持续了四周还是有这种症状，就上当地的医院去照了ct说是胸腔两侧有少量积液，以右侧为主，但又不清楚是什么原因引起的，我应该去做什么检查确诊来源？还有这种情况严重吗？需要注意什么？能吃药解决吗,内科,呼吸内科,胸闷气短呼吸困难有时心跳还加快，什么原因,女
89,17岁,我笑的时候肚子好，咳嗽的时候又肚子痛,内科,呼吸内科,我笑的时候肚子好，咳嗽的时候又肚子痛,女
90,33岁,咳嗽吐黄痰有一个多月了！最近睡觉出汗把睡衣都湿透了。,内科,呼吸内科,咳嗽吐黄痰有一个多月了！最近睡觉出汗把睡,男
91,49岁,咳嗽了二十天，也做过雾化！后面做了喉镜检查！请医生帮忙整段一下是什么病，有可能是癌吗？,内科,呼吸内科,咳嗽了二十天，也做过雾化！后面做了喉镜检,男
92,37岁,医生你好！我咳嗽有一两个月时间了，开始天气转冷没多穿衣服觉得感冒了也没看医生一直咳嗽着，从有痰咳嗽到干咳嗽，现在早上醒来觉得后背酸胀，刷牙时候吐痰带血的，偶尔也有右边胸痛，几年前也有拍过片子显示有个小黑点也输过液的，请问一下是怎么个情况啊？谢谢！,内科,呼吸内科,咳嗽两月痰中带血,男
93,25岁,上周末感冒发烧咳嗽，吃过药好了，然后鼻子上周末感冒发烧咳嗽，吃过药好了，然后鼻子开始有点疼，以为是擤鼻涕擤的，没在意。这几天鼻头更疼了，而且有红肿，一碰就疼。不知道怎么回事？,内科,呼吸内科,上周末感冒发烧咳嗽，吃过药好了，然后鼻子,女
94,3岁,连续四天都是感冒咳嗽，白天不烧，晚上发高烧，，每次都是39度多，一直在吃安贝特，今天换了小儿肺热口服流,内科,呼吸内科,连续四天都是感冒咳嗽，白天不烧，晚上发高,女
95,3岁,孩子三岁，12月7号发烧，去医院检查病毒细菌感染，打了两天针，烧退了，紧接着开始咳嗽，咳了两天，去医院，拍片血检，支气管肺炎，又打了两天针，咳嗽有缓解，复查血，结果不太好，我就想问这个中性粒细胞绝对值，第一次血检高出正常值，第二次三次怎么持续跌得厉害，医生说再打两天针，还跌得话，就得住院打升白针，这个这么严重吗？是什么引起的？今天又肚子不舒服，有点拉稀，胃口也不好，精神还可以！,内科,呼吸内科,支气管肺炎，发烧咳嗽，拉稀粑粑,男
96,3岁,发烧，三天前白细胞19000，打了三天吊针，一天后退烧，今天验了12000，还需要继续打吊针吗？,内科,呼吸内科,三岁宝宝血项12000，已经没有发烧了，,女
97,13岁,先洗热水澡然后有凉水冲全身在吹冷风会发烧吗,内科,呼吸内科,洗热水澡，然后洗冷水澡，会发烧吗？,男
98,7岁,我孩子七岁了，开始是感冒鼻塞，就给他喝感冒颗粒，鼻塞好了，这几晚每晚到下半夜三四点就咳嗽一阵是怎么回事。,内科,呼吸内科,我孩子七岁了，开始是感冒鼻塞，就给他喝感,女
99,22岁,2月份拔了智齿，现在就是只要感冒拔智齿的地方就会疼痛,内科,呼吸内科,拔完牙之后拔完处只要一感冒就会疼痛是因为,女
100,21岁,感冒发烧5天吃了布洛芬没退烧阿莫西林第三天打了喜炎平两支第四天吃了一次奥司他韦晚上两小时内上眼皮紫癜还没退烧这几天白带偏多清色,内科,呼吸内科,感冒发烧5天吃了布洛芬没退烧阿莫西林第三,女
101,1岁,星期天开始发烧，星期三退烧，今天复查血,内科,呼吸内科,星期天开始发烧，星期三退烧，今天复查血,男
102,5岁,四个小时起烧，每次发烧都在三十八度五以上，现在发烧三十九度,内科,呼吸内科,四个小时起烧，每次发烧都在三十八度五以上,男
103,1岁,一岁两个月，发烧，打喷嚏，流鼻涕，呼吸粗重,内科,呼吸内科,一岁两个月，发烧，打喷嚏，流鼻涕，呼吸粗,女
104,47岁,孩子每次发烧白细胞都20以上，最高达到过40，输液就会下降到正常值，请问是怎么回事呢？严重吗？,内科,呼吸内科,孩子每次发烧白细胞都20以上，最高达到过,女
105,17岁,前两天浑身冷到了昨天去医院检查了检查发烧，感冒，今天早上起来特别难受，一咳嗦就痛，刚才睡了一觉起来来的时候头脑难受感觉非常黑暗，耳朵听力下降,内科,呼吸内科,感冒身体冷听力下降头昏脑胀,男
106,30岁,浑身没力，头痛，发烧37.7不流鼻涕不咳嗽,内科,呼吸内科,哺乳期发烧了，吃什么药,女
107,68岁,发烧，咳嗽，全身痛，一月余。有腰间盘突出病史，无创性检查基本上都做了，没什么太大问题，医生再考虑有创性检查。目前咳嗽轻了，体温一直在37到38度之间,内科,呼吸内科,发烧，咳嗽，全身痛，一月余。有腰间盘突出,女
108,17岁,前天头痛发热昨天开始拉肚子发热38.1℃去医院查血常规白细胞多血清样淀粉酶多吃了医生开的药今天不发热了但还是腹泻不止,内科,呼吸内科,头痛发热腹泻不止，什么病？,女
109,22岁,由于发烧发烧褪去后2个小时开始出现精神恍惚意识很清晰平均3之10分钟发作一次长1分钟,内科,呼吸内科,由于发烧发烧褪去后2个小时开始出现精神恍,男
110,9月,孩子九个月，上周四晚上发热，周五上午去医院我检查，医生诊断为急性支气管炎，血常规正常，支原体也未感染，医生给开的希刻劳，肺炎合剂，还有做雾化的药，回来吃了三天药，精神状态好，饮食也正常，但是咳嗽依然有痰，打喷嚏会六黄绿色鼻涕，昨天抱到医院复查，医生说肺部还是有点喘,内科,呼吸内科,九月龄宝宝咳嗽有痰，肺部喘，,男
111,28岁,前几天感冒发烧身上就开始发痒越挠越痒，也没吃什么，和平时差不多，还有就是天突然冷了穿了去年冬天的毛衣没晒没洗穿了两天。昨天吃了雷他定没效果感觉,内科,呼吸内科,前几天感冒发烧身上就开始发痒越挠越痒，也,男
112,40岁,医生好，打扰了，我本人40岁，前十来天因感冒引起头痛，到医院CT和磁共振检查显示腔梗，脑白质变性，脑萎缩，此病严重吗？,内科,呼吸内科,头针刺一样间隙轻度疼痛,男
113,36岁,你好，我咳嗽有二十多天了。我朋友以前也是咳嗽快一个月了，在你们医院拿点药就好了，明天想来你们医院看下病，要挂哪个医生的号更好，我好像主要是咽炎，谢谢,内科,呼吸内科,你好，我咳嗽有二十多天了。我朋友以前也是,女
114,24岁,一个多月反反复复出现头晕头痛昏昏沉沉头背后沉沉有时候恶心想吐四肢无力耳鸣容易烦躁,内科,消化内科,一个多月反反复复出现头晕头痛昏昏沉沉头背,女
115,36岁,老是打长嗝。有时候肚子胀上下肚子都胀。,内科,消化内科,最近失眠老是打嗝肚子胀。,女
116,33岁,老胃病十几年了:初次犯病2002年初中每当中晚饭前一个半小时左右开始疼痛，吃点东西或喝点温水下去就会不痛(当时以为是闹肚子不在意)经过了2~3个礼拜后在家人陪同到镇上医院检查了后来开几副中药吃了好了直到2012年@疼痛又开始发作了自己到医院看(做了胃镜)才知道是胃病的疼痛(十二指肠溃疡，胃窦炎)开药吃了没痛痛了过后@几年到现在每年都反复反复的发作几疼痛实在是太困扰人生活上都给@痛病折磨透了今此时特意上来请求的:望医生专家能指引下治疗法非常感谢！,内科,消化内科,十二指肠溃疡,男
117,32岁,饭后胃胀胃痛如何缓解,内科,消化内科,饭后胃胀胃痛如何缓解,女
118,33岁,老是打嗝，恶心，容易饱，胃还烧心，上厕所一天上两三次的大便，不拉稀，不发黑。胃镜也做过，说是慢性非萎缩性胃炎。,内科,消化内科,老是打嗝，恶心，容易饱，胃还烧心，上厕所,女
119,33岁,嗳气，肚子咕噜咕噜响，屁多，有点腹泻，老想大便，但每次拉也只能拉一点点，大便不成形，老打饱嗝，到诊所开了胃药，吃了没什么用，也没明显的胃痛胃胀，我想问下医生，我这种症状要做那些检查。如果明天去可以直接做吗？,内科,消化内科,老嗳气，肚子咕噜咕噜响，屁多，大便不成形,男
120,27岁,晚上吐了两次，都是水，还早上起来，恶心，吐酸水怎么回事,内科,消化内科,晚上吐了两次酸水，早上起来恶心，吐酸水,女
121,20岁,前天开始拉肚子，一天上了好几次厕所，拉稀，伴随轻微头晕昨天量体温37.4度，身体无力，请问我这是什么病症,内科,消化内科,拉肚子，一天好几次，伴随轻微头晕是什么情,男
122,31岁,今年3月份做体检顺便要求做了胃镜，结果胃镜检查有息肉当时没感觉有不舒服，4月份做的手术，但没有做肠镜，我想现在去您那预约住院复查胃镜顺便做肠镜也检查一下，如果有息肉您直接帮我手术掉，目前偶尔会感觉胃有点不舒服，但不是疼，医生说里面还有息肉但很小很小，看病理再说，后来做完手术息肉病理是慢性炎和HP+，开了两周的杀菌的药，但医生没跟我说什么时候复查，所以这次想去你那里预约住院复查胃肠镜。<h5>是否去医院就诊过：</h5>没去过<h5>当前服药说明：</h5>没有服药<h5>既往病史及手术史：</h5>没有,内科,消化内科,4月份做了胃息肉想去您那住院复查胃镜跟肠,男
123,21岁,最近几天早上起来有些恶心想吐，吐的时候就只有酸水,内科,消化内科,早上起来偶尔恶心想吐,女
124,62岁,胃部嗳气，胃胀。是什么情况导致的，需要服用什么药物？谢谢,内科,消化内科,胃部嗳气，胃胀。是什么情,女
125,29岁,胸口发闷打嗝是怎么回事？？,内科,消化内科,胸口发闷打嗝是怎么回事？？,男
126,17岁,前两天喝冷饮，现在肚脐上面涨，有点恶心,内科,消化内科,现在肚子涨还恶心怎么回事？，怎么办？,女
127,23岁,感觉吃东西消化不了，不饿，反胃，感觉堵在肚子里，很难受小便量小，腥味。便秘大便干燥带白色分泌物肚脐下方疼痛隐隐作痛每天会放很响很臭的屁10个以上肚脐右下肉硬突出。每天很困睡不够，精神状态不好以上症状有一个多月了。,内科,消化内科,感觉吃东西消化不了，不饿，反胃，感觉堵在,女
128,20岁,女，20岁。右肋骨间及右后背有点隐痛，并且有点点腹胀，没什么胃口。已经不是第一次了，请问是什么原因呢？严重吗？,内科,消化内科,女20岁肝区疼痛怎么办？,女
129,19岁,吃饭的时候一直呕，平时感觉胃有些反胃而且伴有一点点酸性，特别是一吹凉风就一直呕，吃饭的时候也经常呕,内科,消化内科,吃饭的时候一直呕，平时感觉胃有些反胃而且,男
